Code,Release Date,Title,,Domestic Gross,,Runtime,Genre,,,,,,,,,,,
5790,30-Sep-11,Margaret,,46500,,150,Drama,,,,,,,,,,,
5816,8-Jan-10,Eva,,16700,,111,Drama,,,,,,,,,,,
5835,21-Oct-10,The Company Men,,4400000,,104,Drama,,,,,,,,,,,
5841,18-Nov-11,Tyrannosaur,,22300,,92,Drama,,,,,,,,,,,
5874,13-Oct-11,The Turin Horse,,56400,,155,Drama,,,,,,,,,,,
5909,5-Feb-14,Decoding Annie Parker,,48400,,91,Drama,,,,,,,,,,,
5980,30-Sep-11,Courageous,,34500000,,129,Drama,,,,,,,,,,,
6060,29-Mar-12,Breathing,,4600,,94,Drama,,,,,,,,,,,
6070,10-Dec-12,Smashed,,377000,,81,Drama,,,,,,,,,,,
6096,31-Mar-11,Super,,328000,,140,Drama,,,,,,,,,,,
6136,9-Jun-13,Il Futuro,,569000,,94,Drama,,,,,,,,,,,
6144,10-Jun-17,The Florida Project,,5900000,,111,Drama,,,,,,,,,,,
6265,5-Feb-14,For a Woman,,32299,,110,Drama,,,,,,,,,,,
6304,6-Dec-15,Madame Bovary,,44200,,118,Drama,,,,,,,,,,,
6314,21-Oct-15,Chronic,,9000,,93,Drama,,,,,,,,,,,
6338,18-Feb-11,Unknown,,63700000,,96,Drama,,,,,,,,,,,
6344,5-Sep-14,Palo Alto,,768000,,100,Drama,,,,,,,,,,,
6350,12-Aug-14,Blind,,12500,,96,Drama,,,,,,,,,,,
6366,5-Feb-14,Ida,,3800000,,82,Drama,,,,,,,,,,,
6397,28-Jan-15,Timbuktu,,1100000,,97,Drama,,,,,,,,,,,
6437,20-Nov-15,Mustang,,845000,,97,Drama,,,,,,,,,,,
6481,18-Nov-11,The Descendants,,82600000,,80,Drama,,,,,,,,,,,
6498,9-Jul-18,I Am Not a Witch,,50900,,93,Drama,,,,,,,,,,,
6092,6-Jul-13,The Wall,,1800000,,108,Drama,,,,,,,,,,,
6097,23-Apr-15,Little Boy,,6500000,,106,Drama,,,,,,,,,,,
6272,31-Aug-18,Kin,,5700000,,45,Drama,,,,,,,,,,,
6511,18-Aug-17,Patti Cakes,,800000,,109,Drama,,,,,,,,,,,
5963,9-Aug-16,Souvenir,,11400,,90,Drama,,,,,,,,,,,
6427,28-Aug-15,We Are Your Friends,,3600000,,96,Drama,,,,,,,,,,,
5906,21-Oct-11,Martha Marcy May Marlene,,3000000,,102,Drama,,,,,,,,,,,
5807,14-Jun-13,Before Midnight,,8100000,,109,Drama,,,,,,,,,,,
5824,28-Dec-10,Biutiful,,5100000,,148,Drama,,,,,,,,,,,
5958,25-Feb-11,Heartbeats,,68700,,101,Drama,,,,,,,,,,,
6069,11-Jul-14,The Way He Looks,,101000,,96,Drama,,,,,,,,,,,
6130,1-Jul-12,Morgan,,3900000,,89,Drama,,,,,,,,,,,
5871,9-Sep-11,Warrior,,13700000,,140,Drama,,,,,,,,,,,
6138,27-Sep-13,Believe,,6200000,,96,Drama,,,,,,,,,,,
5933,24-Jan-16,Mandy,,1200000,,121,Horror,,,,,,,,,,,
6399,13-Feb-15,What We Do in the Shadows,,3500000,,86,Horror,,,,,,,,,,,
6303,19-Jan-14,A Girl Walks Home Alone at Night,,492000,,101,Horror,,,,,,,,,,,
5842,24-Oct-14,Ouija,,50900000,,89,Horror,,,,,,,,,,,
6086,1-Mar-14,Paranormal Activity: The Marked Ones,,32500000,,84,Horror,,,,,,,,,,,
5793,14-Jun-16,The Neon Demon,,1300000,,117,Horror,,,,,,,,,,,
5982,6-Jun-13,V/H/S/2,,21800,,96,Horror,,,,,,,,,,,
6110,8-Jun-12,Truth or Dare,,41400000,,84,Horror,,,,,,,,,,,
6150,10-May-12,V/H/S,,100000,,116,Horror,,,,,,,,,,,
6146,20-May-14,Night Moves,,272000,,112,Thriller,,,,,,,,,,,
6109,3-Oct-17,Personal Shopper,,1300000,,105,Thriller,,,,,,,,,,,
5836,27-Sep-13,We Are What We Are,,81400,,105,Thriller,,,,,,,,,,,
6270,31-May-13,Now You See Me,,117700000,,98,Thriller,,,,,,,,,,,
6482,13-Apr-18,Marrowbone,,1400,,110,Thriller,,,,,,,,,,,
5907,6-May-15,Hungry Hearts,,6900,,109,Thriller,,,,,,,,,,,
5879,10-Apr-13,Gravity,,274100000,,91,Thriller,,,,,,,,,,,
5892,5-Nov-18,Beast,,800000,,83,Thriller,,,,,,,,,,,
5895,8-Apr-12,A Hijacking,,414000,,103,Thriller,,,,,,,,,,,
5915,21-Oct-11,Margin Call,,5400000,,107,Thriller,,,,,,,,,,,
6382,14-Oct-16,Desierto,,2000000,,88,Thriller,,,,,,,,,,,
6039,6-Sep-11,Super 8,,127000000,,112,Thriller,,,,,,,,,,,
6266,29-Jun-11,Vanishing Waves,,5700,,124,Thriller,,,,,,,,,,,
5930,11-May-10,Red Hill,,21100,,95,Thriller,,,,,,,,,,,
